"Strana","Počet kandidátů","Mandát obhajuje","Změna strany","Nováčci","Průměrný věk","Podíl žen","Akademický titul","StranaNr"
"JAROSLAV ALDORF ST., NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","60","0%","0%",801
"JAROSLAV ALDORF ML., NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","37","0%","0%",802
"ZDENĚK BERKA, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","42","0%","0%",803
"BOHUMIL BUŠEK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","52","0%","0%",804
"FRANTIŠEK KOLÁŘ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","37","0%","0%",805
"VÁCLAV MAREK, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","31","0%","0%",806
"JANA MAZANCOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","65","100%","0%",807
"MICHAL HRNČÍŘ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","33","0%","0%",808
"FRANTIŠEK PEROUTKA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","58","0%","0%",809
"FRANTIŠEK PEROUTKA, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","32","0%","100%",810
"PAVEL VODRÁŽKA, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","43","0%","0%",811
"MIROSLAV VOLČÍK, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","68","0%","0%",812
"STANISLAVA ZÍTKOVÁ, NEZÁVISLÝ KANDIDÁT","1/9","0",0,"0","43","100%","0%",813
"JOSEF ZMEŠKAL, NEZÁVISLÝ KANDIDÁT","1/9","1",0,"0","28","0%","0%",814
