"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"MGR. DAVID FRODL","1/7","28","0%","100%","1",0,801
"PAVEL VAŠÁTKO","1/7","50","0%","0%","1",0,802
"JIŘÍ HOŘEŇOVSKÝ","1/7","46","0%","0%","0",0,803
"JANA VICANYOVÁ","1/7","51","100%","0%","1",0,804
"SYLVA HOLUBOVÁ","1/7","36","100%","0%","1",0,805
"ING. VLASTIMIL VOŘÍŠEK","1/7","57","0%","100%","0",0,806
"MILOŠ VLASÁK","1/7","39","0%","0%","0",0,807
"PETR TYLŠAR","1/7","37","0%","0%","1",0,808
"LADISLAV BARTONÍČEK","1/7","72","0%","0%","0",0,809
"PETR TOMÁŠEK","1/7","40","0%","0%","1",0,810
"KAREL VOHRALÍK","1/7","54","0%","0%","1",0,811
"JAROSLAV VLASÁK","1/7","68","0%","0%","0",0,812
"JIŘÍ MÁLEK","1/7","37","0%","0%","0",0,813
